Frequency	amp(Vo1)	phase(Vo1)
16136.19781	19.664670730000001	207.59483109999999
16805.97135	19.851126600000001	208.46396669999999
17503.545529999999	19.98274893	209.2181673
18230.074280000001	20.34136788	210.3407345
18986.759440000002	20.405225179999999	210.8724053
19774.852719999999	20.680600890000001	211.7765909
20595.657790000001	20.836509970000002	212.32201029999999
21450.532449999999	21.181901360000001	213.27301489999999
22340.89084	21.36980582	213.77822689999999
23268.20579	21.43082738	213.8642687
24234.011289999999	21.713850109999999	214.4677925
25239.904979999999	22.054713639999999	215.25411170000001
26287.55082	22.2357008	215.473533
27378.681840000001	22.46536558	215.8006388
28515.102999999999	22.646421220000001	215.74377380000001
29698.694179999999	23.007954420000001	216.43323559999999
30931.4133	23.22215576	216.40427360000001
32215.29953	23.303428889999999	215.85448679999999
