time	V(v_out)	I(I1)
2.568032949685577e-04	5.022876e+00	1.000000e-01
2.569961521114147e-04	5.022991e+00	1.000000e-01
2.571890092542717e-04	5.023105e+00	1.000000e-01
2.574675806828430e-04	5.023268e+00	1.000000e-01
2.577461521114143e-04	5.023429e+00	1.000000e-01
2.580247235399856e-04	5.023589e+00	1.000000e-01
2.583032949685569e-04	5.023748e+00	1.000000e-01
2.585818663971282e-04	5.023905e+00	1.000000e-01
2.588604378256994e-04	5.024060e+00	1.000000e-01
2.591390092542707e-04	5.024214e+00	1.000000e-01
2.604604378256986e-04	5.024920e+00	1.000000e-01
2.617818663971265e-04	5.025596e+00	1.000000e-01
2.631032949685544e-04	5.026241e+00	1.000000e-01
2.644247235399822e-04	5.026856e+00	1.000000e-01
2.657461521114101e-04	5.027440e+00	1.000000e-01
2.670675806828380e-04	5.027994e+00	1.000000e-01
2.683890092542659e-04	5.028517e+00	1.000000e-01
2.713675806828358e-04	5.029581e+00	1.000000e-01
2.743461521114057e-04	5.030536e+00	1.000000e-01
2.773247235399756e-04	5.031380e+00	1.000000e-01
2.803032949685455e-04	5.032113e+00	1.000000e-01
2.832818663971154e-04	5.032737e+00	1.000000e-01
2.862604378256853e-04	5.033250e+00	1.000000e-01
2.892390092542551e-04	5.033653e+00	1.000000e-01
2.912961521113969e-04	5.033889e+00	1.000000e-01
2.933532949685387e-04	5.034091e+00	1.000000e-01
2.954104378256805e-04	5.034258e+00	1.000000e-01
2.974675806828223e-04	5.034391e+00	1.000000e-01
2.995247235399641e-04	5.034489e+00	1.000000e-01
3.015818663971059e-04	5.034553e+00	1.000000e-01
3.036390092542477e-04	5.034583e+00	1.000000e-01
3.039318663971047e-04	5.034585e+00	1.000000e-01
3.042247235399616e-04	5.034587e+00	1.000000e-01
3.045175806828186e-04	5.034588e+00	1.000000e-01
3.048104378256756e-04	5.034589e+00	1.000000e-01
3.051032949685327e-04	5.034589e+00	1.000000e-01
3.053961521113896e-04	5.034589e+00	1.000000e-01
3.056890092542466e-04	5.034588e+00	1.000000e-01
3.057390092542466e-04	5.034588e+00	1.000000e-01
3.061318663971035e-04	5.034585e+00	1.000000e-01
3.065247235399604e-04	5.034582e+00	1.000000e-01
3.069175806828174e-04	5.034578e+00	1.000000e-01
3.073104378256744e-04	5.034573e+00	1.000000e-01
3.077032949685313e-04	5.034567e+00	1.000000e-01
3.080961521113882e-04	5.034560e+00	1.000000e-01
3.084890092542452e-04	5.034552e+00	1.000000e-01
3.105247235399584e-04	5.034492e+00	1.000000e-01
3.125604378256716e-04	5.034413e+00	1.000000e-01
3.145961521113848e-04	5.034313e+00	1.000000e-01
3.166318663970981e-04	5.034192e+00	1.000000e-01
3.186675806828113e-04	5.034051e+00	1.000000e-01
3.207032949685246e-04	5.033890e+00	1.000000e-01
3.227390092542378e-04	5.033708e+00	1.000000e-01
3.264175806828073e-04	5.033330e+00	1.000000e-01
3.300961521113768e-04	5.032917e+00	1.000000e-01
3.337747235399464e-04	5.032467e+00	1.000000e-01
